id	name	type	location	team	initiationDate	finalisationDate	finalStatus
3628	Triathlon-3628	Triathlon	Mickleham	Team-52	2002-12-02	2004-08-17	
3629	Volleyball-3629	Volleyball	Mitcham (Vic.)	Team-23	2001-06-14	2003-06-12	
3630	Croquet-3630	Croquet	Killcare	Team-45	2014-07-17	2015-10-16	
3631	Track and field-3631	Track and field	Tingalpa	Team-63	2017-06-14	2019-06-15	
3632	Shooting-3632	Shooting	Roselands	Team-17	2006-08-24	2008-05-02	
3633	Wrestling-3633	Wrestling	Greece	Team-70	2002-03-06	2004-02-13	
3634	Tennis-3634	Tennis	Macquarie Fields	Team-79	2011-01-15	2012-11-23	
3635	Squash-3635	Squash	Crestmead	Team-80	2004-04-23	2004-07-21	
3636	Racquets-3636	Racquets	Thornlie	Team-65	2006-12-16	2007-11-04	
3637	Rowing-3637	Rowing	Avalon (NSW)	Team-6	2005-01-07	2006-05-13	
3638	Diving-3638	Diving	Kambah	Team-73	2007-12-17	2008-12-22	
3639	Hockey-3639	Hockey	Belgrave Heights	Team-67	2013-03-17	2014-11-28	
3640	Weightlifting-3640	Weightlifting	Cooks Myalls	Team-37	2013-06-16	2014-07-23	
3641	Hockey-3641	Hockey	Cheltenham (NSW)	Team-96	1999-09-18	2001-07-18	
3642	Croquet-3642	Croquet	Craigmore	Team-66	2015-12-21	2017-12-13	
3643	Karate-3643	Karate	Balwyn North	Team-79	2008-04-02	2009-03-18	
3644	Volleyball-3644	Volleyball	Umina Beach	Team-79	2017-06-14	2019-03-23	
3645	Baseball-3645	Baseball	Dolans Bay	Team-65	2006-03-08	2007-01-08	
3646	Canoe-3646	Canoe	Summer Hill (Ashfield - NSW)	Team-1	2003-02-22	2004-12-29	
3647	Bowling-3647	Bowling	Ocean Grove	Team-48	2000-10-12	2002-08-04	
3648	Kayak-3648	Kayak	Manningham	Team-36	2006-05-03	2007-10-13	
3649	Squash-3649	Squash	North Shore (NSW)	Team-76	2017-02-15	2019-01-11	
3650	Equestrian-3650	Equestrian	Cordeaux Heights	Team-49	2008-03-16	2009-11-07	
3651	Badminton-3651	Badminton	Park Orchards	Team-91	2008-04-11	2009-10-27	
3652	Handball-3652	Handball	Tarneit	Team-27	2001-03-03	2002-12-12	
3653	Badminton-3653	Badminton	Kulangoor	Team-45	2005-07-26	2007-06-17	
3654	Equestrian-3654	Equestrian	Southport (Qld)	Team-37	2016-06-02	2018-05-01	
3655	Dancing-3655	Dancing	Doonan	Team-65	2010-07-14	2012-05-24	
3656	Softball-3656	Softball	Port Pirie West	Team-66	2011-08-17	2013-04-15	
3657	Kayak-3657	Kayak	Windsor Gardens	Team-7	2013-04-21	2014-06-02	
3658	Cricket-3658	Cricket	Macclesfield (Vic.)	Team-68	2013-05-17	2014-12-27	
3659	Archery-3659	Archery	Vietnam	Team-60	2005-01-11	2006-10-26	
3660	Wrestling-3660	Wrestling	Willetton	Team-86	1999-09-19	2001-08-14	
3661	Pentathlon-3661	Pentathlon	Rosny	Team-6	2014-12-14	2016-09-05	
3662	Racquets-3662	Racquets	Mona Vale	Team-18	2013-02-27	2014-11-12	
3663	Badminton-3663	Badminton	Dampier Peninsula	Team-38	2013-12-18	2015-12-11	
3664	Rowing-3664	Rowing	Ridgewood (WA)	Team-68	2005-12-07	2007-11-02	
3665	Golf-3665	Golf	Caulfield South	Team-47	1999-01-02	2000-11-23	
3666	Water polo-3666	Water polo	Kingston (Qld)	Team-45	2004-01-19	2005-05-21	
3667	Swimming-3667	Swimming	Phillip	Team-95	2018-10-19	2020-07-31	
3668	Archery-3668	Archery	Salisbury North	Team-36	2007-05-15	2009-05-08	
3669	Volleyball-3669	Volleyball	Acton (ACT)	Team-26	2008-08-09	2010-08-12	
3670	Softball-3670	Softball	Birtinya	Team-92	1999-03-16	2000-06-20	
3671	Canoe-3671	Canoe	Singapore	Team-89	2016-09-26	2017-11-20	
3672	Softball-3672	Softball	Lamb Range	Team-27	2015-12-10	2017-06-27	
3673	Basketball-3673	Basketball	Wentworth Falls	Team-42	2000-07-27	2002-07-05	
3674	Cricket-3674	Cricket	Farrer	Team-76	2011-07-19	2013-05-08	
3675	Hockey-3675	Hockey	Wakool	Team-97	2018-06-14	2018-08-15	
3676	Soccer-3676	Soccer	Campbell	Team-10	2011-09-03	2013-07-04	
3677	Squash-3677	Squash	Caboolture South	Team-73	2001-06-04	2002-11-06	
3678	Wrestling-3678	Wrestling	South Yarra	Team-43	2018-09-11	2020-03-18	
3679	Netball-3679	Netball	Marayong	Team-34	1999-07-15	2001-07-19	
3680	Cycling-3680	Cycling	Riverview (Lane Cove - NSW)	Team-53	2015-03-05	2017-02-16	
3681	Cricket-3681	Cricket	New Zealand	Team-79	2010-10-23	2012-04-13	
3682	Judo-3682	Judo	Yarranbella	Team-35	2000-07-14	2001-11-15	
3683	Tennis-3683	Tennis	Stockleigh	Team-31	2015-09-11	2017-07-15	
3684	Softball-3684	Softball	Rouse Hill	Team-23	2006-09-23	2008-09-24	
3685	Shooting-3685	Shooting	Phegans Bay	Team-26	2004-05-16	2006-05-06	
3686	Bowling-3686	Bowling	Frankston North	Team-28	2015-11-12	2017-08-18	
3687	Taekwondo-3687	Taekwondo	Fiddletown	Team-49	2015-08-24	2017-08-14	
3688	Water polo-3688	Water polo	East Maitland	Team-70	2005-02-06	2006-07-07	
3689	Swimming-3689	Swimming	Newport (NSW)	Team-77	2007-05-05	2009-04-26	
3690	Squash-3690	Squash	The Ridgeway	Team-94	2017-06-28	2017-10-21	
3691	Kayak-3691	Kayak	Chile	Team-35	2015-01-06	2016-09-21	
3692	Equestrian-3692	Equestrian	Hampton East	Team-43	2007-12-07	2009-03-06	
3693	Wrestling-3693	Wrestling	Keiraville	Team-41	2015-02-16	2016-09-17	
3694	Golf-3694	Golf	Canning Vale	Team-33	2003-05-20	2005-05-06	
3695	Cycling-3695	Cycling	Earlwood	Team-33	1999-11-24	2001-05-15	
3696	Track and field-3696	Track and field	Liberia	Team-35	1999-08-01	2000-10-24	
3697	Baseball-3697	Baseball	Wyndham Vale	Team-51	2004-07-07	2005-07-11	
3698	Weightlifting-3698	Weightlifting	Liffey	Team-33	2001-04-06	2003-04-12	
3699	Badminton-3699	Badminton	Athelstone	Team-21	2018-05-13	2020-04-01	
3700	Water polo-3700	Water polo	Caboolture	Team-15	2002-10-25	2004-10-05	
3701	Volleyball-3701	Volleyball	Weetangera	Team-21	2018-05-02	2020-04-26	
3702	Sailing-3702	Sailing	No usual address (Vic.)	Team-17	2015-09-03	2017-07-20	
3703	Basketball-3703	Basketball	Eastwood (Vic.)	Team-54	2013-02-11	2014-09-02	
3704	Shooting-3704	Shooting	Kings Beach	Team-39	2003-05-11	2005-04-19	
3705	Netball-3705	Netball	Roseville Chase	Team-36	2016-05-11	2018-03-06	
3706	Lacrosse-3706	Lacrosse	Cheltenham (Vic.)	Team-66	2010-12-25	2012-04-05	
3707	Fencing-3707	Fencing	Scoresby	Team-13	2013-07-17	2014-11-28	
3708	Croquet-3708	Croquet	Carina Heights	Team-40	2004-08-15	2006-06-15	
3709	Karate-3709	Karate	Kulnura	Team-10	2018-12-10	2019-11-25	
3710	Wrestling-3710	Wrestling	Wulkuraka	Team-84	2016-08-04	2018-05-13	
3711	Climbing-3711	Climbing	Mooroolbark	Team-53	2001-10-15	2002-06-09	
3712	Water polo-3712	Water polo	Mount Camel	Team-59	2018-07-15	2020-06-02	
3713	Rugby union-3713	Rugby union	Eastwood (NSW)	Team-80	2009-08-05	2010-11-30	
3714	Bowling-3714	Bowling	Morley	Team-64	2007-06-09	2009-05-19	
3715	Diving-3715	Diving	Lytton	Team-92	2015-08-18	2017-08-16	
3716	Wrestling-3716	Wrestling	Nariel Valley	Team-18	2007-01-20	2008-08-08	
3717	Karate-3717	Karate	Arndell Park	Team-93	2008-02-13	2009-06-27	
3718	Archery-3718	Archery	Cranbourne West	Team-66	2002-01-17	2004-01-06	
3719	Volleyball-3719	Volleyball	Pascoe Vale	Team-35	2008-04-01	2009-11-26	
3720	Canoe-3720	Canoe	Darch	Team-81	2004-06-16	2005-08-13	
3721	Lacrosse-3721	Lacrosse	Kew (Vic.)	Team-78	2017-10-15	2019-10-18	
3722	Golf-3722	Golf	Burleigh Waters	Team-56	2013-04-13	2015-03-28	
3723	Gymnastics-3723	Gymnastics	Kew (Vic.)	Team-66	2010-01-06	2011-12-17	
3724	Rugby union-3724	Rugby union	Kelmscott	Team-73	2006-05-25	2007-11-27	
3725	Badminton-3725	Badminton	Mango Hill	Team-25	2000-08-25	2002-07-15	
3726	Softball-3726	Softball	Kulnura	Team-34	2015-05-26	2017-04-13	
3727	Triathlon-3727	Triathlon	Varsity Lakes	Team-16	2004-08-26	2006-07-16	
3728	Surfing-3728	Surfing	Flemington	Team-16	2006-04-14	2008-01-31	
3729	Wrestling-3729	Wrestling	Mill Park	Team-67	2007-07-04	2009-06-03	
3730	Cricket-3730	Cricket	New Beith	Team-80	2005-02-05	2007-01-16	
3731	Triathlon-3731	Triathlon	Kingsford (NSW)	Team-42	2010-07-14	2012-05-27	
3732	Gymnastics-3732	Gymnastics	Moffat Beach	Team-67	2010-09-22	2012-08-27	
3733	Water polo-3733	Water polo	Hoppers Crossing	Team-39	2006-04-04	2006-09-01	
3734	Cycling-3734	Cycling	Malaysia	Team-79	2006-04-27	2007-10-16	
3735	Track and field-3735	Track and field	Watermans Bay	Team-37	2010-02-13	2011-07-11	
3736	Water polo-3736	Water polo	Pyrmont	Team-43	2003-07-26	2005-06-10	
3737	Karate-3737	Karate	Mount Eliza	Team-86	2016-04-03	2018-02-17	
3738	Rowing-3738	Rowing	Buninyong	Team-50	2003-11-15	2005-11-12	
3739	Diving-3739	Diving	Kings Park (SA)	Team-61	2003-07-11	2005-05-27	
3740	Diving-3740	Diving	Flynn (ACT)	Team-83	2014-02-24	2016-02-28	
3741	Golf-3741	Golf	Albion (Vic.)	Team-12	2017-11-20	2019-07-18	
3742	Rowing-3742	Rowing	Bicton	Team-53	2004-10-21	2006-07-25	
3743	Diving-3743	Diving	Wellington Point	Team-76	2012-08-21	2014-08-24	
3744	Canoe-3744	Canoe	Woronora	Team-80	2009-10-20	2011-06-20	
3745	Volleyball-3745	Volleyball	Mount Abundance	Team-8	2011-02-15	2011-09-21	
3746	Baseball-3746	Baseball	Bentleigh East	Team-46	2012-10-06	2013-12-03	
3747	Dancing-3747	Dancing	Kurunjang	Team-18	2005-06-05	2006-12-07	
3748	Handball-3748	Handball	Acton (ACT)	Team-24	2004-07-20	2006-07-20	
3749	Soccer-3749	Soccer	Oman	Team-95	2006-05-01	2008-04-22	
3750	Water polo-3750	Water polo	Warana	Team-11	2003-07-14	2005-04-04	
3751	Rugby 7s-3751	Rugby 7s	Mons	Team-84	2005-11-25	2006-09-04	
3752	Racquets-3752	Racquets	Gowrie (ACT)	Team-15	2006-06-26	2008-04-18	
3753	Weightlifting-3753	Weightlifting	Pyrmont	Team-23	2016-03-13	2017-08-13	
3754	Water polo-3754	Water polo	Otford	Team-49	2016-05-09	2018-05-11	
3755	Netball-3755	Netball	Brunswick (Vic.)	Team-10	2008-06-27	2009-07-19	
3756	Surfing-3756	Surfing	Chandlers Hill	Team-87	2015-07-04	2017-02-09	
3757	Kayak-3757	Kayak	Riverside (NSW)	Team-16	2009-02-05	2010-10-18	
3758	Pentathlon-3758	Pentathlon	Glenalta	Team-95	2010-09-18	2012-09-11	
3759	Rugby 7s-3759	Rugby 7s	Ascot (WA)	Team-42	2018-06-19	2018-12-23	
3760	Dancing-3760	Dancing	Jerrabomberra	Team-81	2007-02-08	2008-10-01	
3761	Cycling-3761	Cycling	Dandenong	Team-46	2004-12-12	2006-11-18	
3762	Bowling-3762	Bowling	Maddington	Team-64	2007-10-22	2009-05-18	
3763	Track and field-3763	Track and field	South Africa	Team-12	2000-01-24	2001-07-14	
3764	Diving-3764	Diving	South Korea	Team-24	2012-05-24	2013-06-21	
3765	Pentathlon-3765	Pentathlon	Daceyville	Team-48	2016-09-16	2017-05-25	
3766	Hockey-3766	Hockey	Connells Point	Team-83	2018-07-26	2020-06-20	
3767	Pentathlon-3767	Pentathlon	Jordan	Team-61	2018-07-21	2020-01-19	
3768	Rowing-3768	Rowing	Emerald (Qld)	Team-6	1999-09-13	1999-09-30	
3769	Judo-3769	Judo	Waterloo (NSW)	Team-11	2013-01-09	2014-02-11	
3770	Swimming-3770	Swimming	Pagewood	Team-77	2005-02-26	2006-03-12	
3771	Badminton-3771	Badminton	Mornington (Vic.)	Team-23	2014-09-07	2016-08-31	
3772	Netball-3772	Netball	Cockatoo Valley	Team-47	2013-12-22	2015-09-14	
3773	Squash-3773	Squash	Burraneer	Team-84	2012-04-11	2014-02-13	
3774	Track and field-3774	Track and field	Maudsland	Team-70	2004-03-25	2006-03-10	
3775	Gymnastics-3775	Gymnastics	Gawler (SA)	Team-56	2014-09-10	2016-01-04	
3776	Gymnastics-3776	Gymnastics	Werribee South	Team-94	1999-05-28	2001-02-24	
3777	Soccer-3777	Soccer	Melbourne	Team-65	2005-12-05	2007-05-31	
3778	Gymnastics-3778	Gymnastics	Cottesloe	Team-56	2010-02-21	2010-07-28	
3779	Gymnastics-3779	Gymnastics	Salisbury Downs	Team-5	2010-01-03	2010-12-25	
3780	Canoe-3780	Canoe	Lalor	Team-30	2004-09-12	2006-02-10	
3781	Golf-3781	Golf	Somerville (Vic.)	Team-69	1999-09-04	2001-09-01	
3782	Hockey-3782	Hockey	Belgrave Heights	Team-78	2012-02-04	2013-07-13	
3783	Rugby union-3783	Rugby union	St Ives (NSW)	Team-72	2008-09-26	2010-07-02	
3784	Equestrian-3784	Equestrian	Balwyn North	Team-15	2009-10-27	2011-02-21	
3785	Rugby 7s-3785	Rugby 7s	Sadliers Crossing	Team-69	2000-09-10	2002-08-09	
3786	Softball-3786	Softball	Hampton Park	Team-21	2007-01-28	2009-01-27	
3787	Cricket-3787	Cricket	Castella	Team-77	2012-06-09	2014-03-20	
3788	Archery-3788	Archery	Wellsford	Team-55	2007-05-08	2009-05-07	
3789	Tennis-3789	Tennis	Burwood (Vic.)	Team-8	2013-10-12	2014-09-20	
3790	Gymnastics-3790	Gymnastics	North St Marys	Team-63	2012-09-23	2014-08-05	
3791	Track and field-3791	Track and field	Port Melbourne	Team-36	2000-01-27	2001-09-25	
3792	Sailing-3792	Sailing	Essendon	Team-56	2015-09-01	2017-04-09	
3793	Badminton-3793	Badminton	Noble Park North	Team-14	1999-03-03	2001-01-05	
3794	Squash-3794	Squash	Deception Bay	Team-80	2016-02-07	2017-03-13	
3795	Archery-3795	Archery	Arrawarra	Team-43	2006-03-11	2007-01-09	
3796	Golf-3796	Golf	Thebarton	Team-1	2003-06-09	2005-05-02	
3797	Racquets-3797	Racquets	Beechboro	Team-36	2018-10-21	2020-08-21	
3798	Canoe-3798	Canoe	Woodberry	Team-22	2014-03-25	2016-03-01	
3799	Fencing-3799	Fencing	West Moonah	Team-55	2005-11-05	2007-11-02	
3800	Swimming-3800	Swimming	Firle	Team-60	2007-07-17	2009-01-20	
3801	Hockey-3801	Hockey	Upper Brookfield	Team-28	2017-02-10	2018-09-30	
3802	Fencing-3802	Fencing	Woolamai	Team-23	2010-01-09	2011-11-21	
3803	Triathlon-3803	Triathlon	Bellbird Park	Team-12	2003-06-14	2005-06-11	
3804	Dancing-3804	Dancing	Perth (WA)	Team-24	2010-04-21	2010-11-24	
3805	Shooting-3805	Shooting	Edithvale	Team-33	2011-04-26	2012-09-30	
3806	Softball-3806	Softball	Pendle Hill	Team-28	2007-01-09	2008-05-05	
3807	Judo-3807	Judo	Sturt (SA)	Team-20	2015-05-01	2017-02-02	
3808	Water polo-3808	Water polo	Caulfield South	Team-36	2001-07-15	2003-04-15	
3809	Tennis-3809	Tennis	Artarmon	Team-74	2001-01-22	2002-07-20	
3810	Rugby union-3810	Rugby union	Mount Riverview	Team-3	2013-05-17	2015-04-28	
3811	Cycling-3811	Cycling	Cringila	Team-11	2002-07-06	2003-08-20	
3812	Swimming-3812	Swimming	Colombia	Team-23	2005-07-27	2007-05-26	
3813	Rowing-3813	Rowing	Colombia	Team-52	1999-04-04	2001-02-12	
3814	Taekwondo-3814	Taekwondo	Ocean Grove	Team-68	2017-08-06	2019-07-10	
3815	Golf-3815	Golf	Lilydale (Vic.)	Team-2	2007-05-02	2009-01-18	
3816	Basketball-3816	Basketball	Eastlakes	Team-3	2017-04-13	2018-07-08	
3817	Badminton-3817	Badminton	Dysart (Qld)	Team-72	2012-04-22	2014-04-01	
3818	Cricket-3818	Cricket	Toowong	Team-94	2006-07-05	2007-09-13	
3819	Sailing-3819	Sailing	Belrose	Team-82	2015-10-05	2017-09-16	
3820	Gymnastics-3820	Gymnastics	Bell Post Hill	Team-11	2001-10-23	2002-03-29	
3821	Surfing-3821	Surfing	Forest Hill (Vic.)	Team-36	2010-03-09	2011-05-06	
3822	Pentathlon-3822	Pentathlon	Tapping	Team-92	2017-12-24	2019-12-22	
3823	Handball-3823	Handball	Thornlie	Team-19	2018-01-21	2019-09-12	
3824	Swimming-3824	Swimming	Ashfield (NSW)	Team-26	2008-01-08	2009-08-09	
3825	Badminton-3825	Badminton	Avoca Beach	Team-26	2002-01-27	2002-12-08	
3826	Dancing-3826	Dancing	Dernancourt	Team-32	2003-01-16	2004-12-21	
3827	Gymnastics-3827	Gymnastics	Tumbi Umbi	Team-97	2008-04-04	2009-10-15	
3828	Surfing-3828	Surfing	Blackmans Bay	Team-7	2017-12-18	2019-08-14	
3829	Golf-3829	Golf	Albion (Vic.)	Team-46	2006-01-03	2007-12-14	
3830	Rugby union-3830	Rugby union	Iraq	Team-46	2004-10-28	2006-09-27	
3831	Racquets-3831	Racquets	Reedy Marsh	Team-42	2014-04-06	2016-01-16	
3832	Baseball-3832	Baseball	Bruce (ACT)	Team-35	2009-05-22	2010-08-27	
3833	Croquet-3833	Croquet	Frankston	Team-5	2015-10-14	2017-06-12	
3834	Bowling-3834	Bowling	East Ballina	Team-23	2013-09-18	2015-09-15	
3835	Volleyball-3835	Volleyball	Corrimal	Team-36	2017-07-12	2019-06-01	
3836	Diving-3836	Diving	North Melbourne	Team-25	2015-07-14	2017-03-23	
3837	Golf-3837	Golf	Cape Schanck	Team-21	1999-02-21	2000-11-08	
3838	Rugby union-3838	Rugby union	Sheidow Park	Team-22	2009-11-05	2011-07-05	
3839	Dancing-3839	Dancing	Downer	Team-7	2016-09-14	2018-03-07	
3840	Karate-3840	Karate	Thornlie	Team-68	2005-11-10	2007-03-16	
3841	Sailing-3841	Sailing	Guatemala	Team-17	2017-03-27	2018-11-02	
3842	Hockey-3842	Hockey	Mount Martha	Team-55	2016-01-01	2017-08-23	
3843	Squash-3843	Squash	Giralang	Team-54	2008-02-27	2008-12-17	
3844	Karate-3844	Karate	Alberton (Qld)	Team-37	2016-09-18	2018-06-14	
3845	Track and field-3845	Track and field	Hebersham	Team-47	2011-08-06	2012-11-08	
3846	Netball-3846	Netball	North Bondi	Team-42	2011-07-14	2012-01-06	
3847	Archery-3847	Archery	Myaree	Team-93	2018-11-10	2020-08-30	
3848	Diving-3848	Diving	Hawthorn (Vic.)	Team-5	2004-06-05	2006-01-05	
3849	Polo-3849	Polo	Tunisia	Team-31	2012-01-10	2013-08-10	
3850	Basketball-3850	Basketball	Doveton	Team-29	2015-10-07	2017-05-21	
3851	Water polo-3851	Water polo	Bulli	Team-55	2014-09-17	2016-08-28	
3852	Track and field-3852	Track and field	Menora	Team-38	2008-10-01	2010-04-18	
3853	Volleyball-3853	Volleyball	Rozelle	Team-24	2010-08-09	2012-07-01	
3854	Surfing-3854	Surfing	Ashgrove	Team-9	2008-06-07	2009-01-19	
3855	Tennis-3855	Tennis	Dolans Bay	Team-9	2007-09-23	2008-09-24	
3856	Volleyball-3856	Volleyball	Calamvale	Team-32	2003-05-27	2005-03-17	
3857	Track and field-3857	Track and field	Nerrina	Team-27	2000-02-13	2001-12-10	
3858	Triathlon-3858	Triathlon	Redfern	Team-12	2017-07-10	2018-02-21	
3859	Cricket-3859	Cricket	Kuraby	Team-3	2012-08-23	2014-08-12	
3860	Rugby 7s-3860	Rugby 7s	Sunnyside (SA)	Team-63	2015-11-10	2016-11-17	
3861	Fencing-3861	Fencing	Tarneit	Team-79	2011-09-12	2013-07-10	
3862	Boxing-3862	Boxing	Tarragindi	Team-52	2009-06-17	2011-01-04	
3863	Racquets-3863	Racquets	Fadden	Team-51	2003-02-12	2004-11-19	
3864	Cricket-3864	Cricket	Floraville	Team-58	2002-01-09	2003-03-15	
3865	Rugby 7s-3865	Rugby 7s	Curl Curl	Team-49	2013-11-11	2015-06-19	
3866	Diving-3866	Diving	Moorina (Qld)	Team-13	2004-09-11	2006-09-11	
3867	Croquet-3867	Croquet	Glenfield (NSW)	Team-32	2012-03-15	2014-03-04	
3868	Rugby union-3868	Rugby union	Mount Stuart (Tas.)	Team-1	2005-03-19	2006-05-24	
3869	Sailing-3869	Sailing	Denistone	Team-36	2013-08-15	2015-06-07	
3870	Rugby 7s-3870	Rugby 7s	Silver Sands	Team-42	2010-10-10	2012-07-03	
3871	Sailing-3871	Sailing	Clemton Park	Team-20	1999-07-05	2001-01-09	
3872	Wrestling-3872	Wrestling	Moorabbin Airport	Team-86	2017-08-11	2018-04-28	
3873	Dancing-3873	Dancing	Jamboree Heights	Team-64	2004-02-23	2006-02-23	
3874	Cricket-3874	Cricket	Epping (Vic.)	Team-58	1999-04-07	2000-12-29	
3875	Dancing-3875	Dancing	Wattle Grove (NSW)	Team-6	2016-12-07	2018-09-11	
3876	Water polo-3876	Water polo	Lansvale	Team-69	2009-08-03	2011-07-12	
3877	Triathlon-3877	Triathlon	Colombia	Team-71	2006-12-01	2008-11-14	
3878	Cycling-3878	Cycling	Bardon	Team-21	2002-10-15	2004-04-17	
3879	Soccer-3879	Soccer	Forde	Team-94	2013-08-18	2015-01-30	
3880	Polo-3880	Polo	Hungary	Team-58	2001-12-01	2003-02-23	
3881	Water polo-3881	Water polo	Australind	Team-78	2003-05-17	2003-09-06	
3882	Pentathlon-3882	Pentathlon	Southbank	Team-98	2000-09-21	2002-07-15	
3883	Archery-3883	Archery	Caringbah	Team-78	2015-08-05	2016-05-23	
3884	Soccer-3884	Soccer	Rochedale	Team-29	2005-04-19	2007-01-23	
3885	Karate-3885	Karate	Lalor Park	Team-38	1999-01-28	2000-10-09	
3886	Sailing-3886	Sailing	Marrickville	Team-2	2002-02-08	2003-12-18	
3887	Rugby 7s-3887	Rugby 7s	Torquay (Vic.)	Team-74	2010-01-21	2012-01-11	
3888	Kayak-3888	Kayak	Mexico	Team-27	2009-10-25	2011-07-01	
3889	Baseball-3889	Baseball	Seaton (SA)	Team-15	2014-03-10	2014-12-23	
3890	Pentathlon-3890	Pentathlon	Carrara	Team-39	2000-11-11	2002-05-25	
3891	Volleyball-3891	Volleyball	Georges Hall	Team-85	2010-07-08	2011-06-06	
3892	Croquet-3892	Croquet	Cape Verde	Team-35	2008-08-18	2009-06-04	
3893	Rugby 7s-3893	Rugby 7s	Giralang	Team-59	2000-05-03	2001-11-04	
3894	Softball-3894	Softball	Golden Square	Team-81	2011-11-07	2013-10-17	
3895	Pentathlon-3895	Pentathlon	Yellow Rock (Shellharbour - NSW)	Team-63	2002-05-14	2003-07-22	
3896	Badminton-3896	Badminton	Taren Point	Team-17	2014-08-07	2016-08-12	
3897	Climbing-3897	Climbing	Railway Estate	Team-25	2018-05-07	2019-04-25	
3898	Taekwondo-3898	Taekwondo	Gwynneville	Team-54	2003-02-20	2005-01-27	
3899	Surfing-3899	Surfing	Northcote	Team-9	2002-09-09	2004-06-18	
3900	Boxing-3900	Boxing	Tarneit	Team-62	2012-07-12	2014-05-02	
3901	Dancing-3901	Dancing	Dunolly (Vic.)	Team-39	2001-04-19	2003-01-29	
3902	Gymnastics-3902	Gymnastics	Valley View	Team-87	2010-09-05	2012-06-28	
3903	Dancing-3903	Dancing	Clifton Springs	Team-31	2013-10-05	2014-08-30	
3904	Cycling-3904	Cycling	Greta West	Team-57	2014-07-26	2016-05-16	
3905	Water polo-3905	Water polo	Bridgeman Downs	Team-91	2011-05-22	2012-08-31	
3906	Sailing-3906	Sailing	Diamond Valley	Team-73	1999-09-12	2001-02-10	
3907	Surfing-3907	Surfing	Cronulla	Team-62	2006-06-05	2008-03-12	
3908	Polo-3908	Polo	Numinbah Valley	Team-22	2002-08-08	2003-02-09	
3909	Soccer-3909	Soccer	Baan Baa	Team-98	2013-11-05	2015-05-02	
3910	Basketball-3910	Basketball	Parafield Gardens	Team-21	2007-08-03	2008-10-29	
3911	Water polo-3911	Water polo	Jerrabomberra	Team-56	2011-09-09	2013-08-12	
3912	Gymnastics-3912	Gymnastics	Elizabeth Bay	Team-96	2006-04-13	2008-03-10	
3913	Hockey-3913	Hockey	Bentleigh	Team-3	2014-03-26	2015-02-12	
3914	Triathlon-3914	Triathlon	Noraville	Team-96	2017-06-22	2019-03-17	
3915	Hockey-3915	Hockey	Smeaton Grange	Team-40	2000-08-22	2002-07-22	
3916	Archery-3916	Archery	Melbourne	Team-62	2016-08-15	2017-12-29	
3917	Racquets-3917	Racquets	Vermont South	Team-91	2002-07-08	2004-06-17	
3918	Racquets-3918	Racquets	Redfern	Team-28	2003-07-19	2005-06-17	
3919	Rugby 7s-3919	Rugby 7s	Spring Farm (NSW)	Team-7	2016-03-15	2016-05-11	
3920	Rugby union-3920	Rugby union	Burundi	Team-53	2008-01-02	2009-01-24	
3921	Handball-3921	Handball	Clifton Hill	Team-31	2016-04-10	2018-03-18	
3922	Climbing-3922	Climbing	Shute Harbour	Team-7	2000-12-23	2002-10-24	
3923	Rugby 7s-3923	Rugby 7s	Wandana Heights	Team-68	2004-04-11	2006-03-22	
3924	Baseball-3924	Baseball	Blue Bay	Team-98	2010-01-27	2011-07-26	
3925	Polo-3925	Polo	Woolwich	Team-10	1999-03-27	2000-11-02	
3926	Volleyball-3926	Volleyball	Dandenong South	Team-6	2001-05-12	2003-03-21	
3927	Badminton-3927	Badminton	Frewville	Team-6	2001-01-08	2002-08-24	
3928	Squash-3928	Squash	Morphett Vale	Team-12	1999-05-07	2001-05-05	
3929	Water polo-3929	Water polo	Palm Beach (NSW)	Team-47	2014-06-10	2015-06-25	
3930	Racquets-3930	Racquets	White Hills (Vic.)	Team-31	2009-11-19	2010-12-07	
3931	Weightlifting-3931	Weightlifting	Dalgety	Team-83	2006-07-05	2008-05-07	
3932	Bowling-3932	Bowling	Mount Stuart (Tas.)	Team-95	2008-04-17	2009-09-19	
3933	Netball-3933	Netball	Millbank (Qld)	Team-36	2016-11-02	2018-10-20	
3934	Karate-3934	Karate	Glen Waverley	Team-89	2017-09-24	2019-03-17	
3935	Judo-3935	Judo	Sebastopol (Vic.)	Team-33	2014-08-11	2015-12-21	
3936	Triathlon-3936	Triathlon	Rosebery (NT)	Team-5	2014-03-22	2016-03-16	
3937	Sailing-3937	Sailing	Woronora	Team-12	2012-02-24	2012-07-15	
3938	Cricket-3938	Cricket	New Farm	Team-62	2003-02-20	2004-10-22	
3939	Cycling-3939	Cycling	Laguna	Team-54	2017-01-17	2018-10-12	
3940	Kayak-3940	Kayak	Madeley	Team-94	2014-01-23	2015-03-20	
3941	Swimming-3941	Swimming	Boodarie	Team-25	2017-10-20	2019-10-04	
3942	Pentathlon-3942	Pentathlon	Rosebery (NT)	Team-21	2009-12-26	2011-12-02	
3943	Shooting-3943	Shooting	Metford	Team-38	2018-02-16	2018-06-09	
3944	Squash-3944	Squash	Finland	Team-69	2005-06-21	2007-05-14	
3945	Fencing-3945	Fencing	Fisher (ACT)	Team-25	2012-08-08	2014-03-21	
3946	Track and field-3946	Track and field	Girraween (NT)	Team-64	2014-04-08	2016-01-01	
